Matrice;prodConformRatio
Comparison_of_Microsoft_Windows_versions     Anchor HR Phone  Windows Phone;100
Comparison_of_Microsoft_Windows_versions   Security features;100
Comparison_of_Microsoft_Windows_versions     Anchor TI 9x  Windows 9x;100
Comparison_of_Microsoft_Windows_versions     Anchor TI Phone  Windows Phone;100
Comparison_of_mobile_operating_systems    Peripheral Support ;100
Comparison_of_MySQL_database_engines;100
Comparison_of_national_standards_of_Chinese   Written standards;100
Comparison_of_network_diagram_software    List of Drawing Tools  ;100
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Vowels ;100
Comparison_of_Norwegian_Bokm l_and_Standard_Danish    Consonants ;100
Comparison_of_object relational_database_management_systems    Basic data ;100
Comparison_of_object relational_database_management_systems   Object features;100
Comparison_of_object relational_database_management_systems   Data types;100
Comparison_of_OLAP_Servers   General information;100
Comparison_of_OLAP_Servers   Data storage modes;100
Comparison_of_OLAP_Servers   APIs and query languages;100
Comparison_of_open source_wireless_drivers   Solaris and OpenSolaris;100
Comparison_of_open source_wireless_drivers   Darwin  OpenDarwin and Mac OS X;100
Comparison_of_OpenGL_and_Direct3D    Availability ;100
Comparison_of_operating_systems    General information ;100
Comparison_of_operating_system_kernels    Transport protocol support ;100
Comparison_of_operating_system_kernels    Supported compression algorithms ;100
Comparison_of_operating_system_kernels    Networked file system support ;100
Comparison_of_photo_gallery_software   Desktop applications;100
Comparison_of_photo_gallery_software   Server applications;100
Comparison_of_Portuguese_and_Spanish   Samples;100
Comparison_of_Portuguese_and_Spanish   Object pronouns;100
Comparison_of_Portuguese_and_Spanish    To like ;100
Comparison_of_programming_languages_(basic_instructions)     ;100
Comparison_of_programming_languages_(basic_instructions)     ;100
Comparison_of_programming_languages_(basic_instructions)     statements ;100
Comparison_of_programming_languages_(strings)    Quoted interpolated ;100
Comparison_of_programming_languages_(strings)    Dual quoting ;100
Comparison_of_programming_languages_(strings)    Here document ;100
Comparison_of_programming_languages_(strings)    Unique quoting variants ;100
Comparison_of_programming_languages_(string_functions)   Find;100
Comparison_of_programming_languages_(string_functions)   Find character;100
Comparison_of_programming_languages_(string_functions)   Format;100
Comparison_of_programming_languages_(string_functions)   join;100
Comparison_of_programming_languages_(string_functions)   left;100
Comparison_of_programming_languages_(string_functions)   length;100
Comparison_of_programming_languages_(string_functions)   Lowercase;100
Comparison_of_programming_languages_(string_functions)   partition;100
Comparison_of_programming_languages_(string_functions)   replace;100
Comparison_of_programming_languages_(string_functions)   reverse;100
Comparison_of_programming_languages_(string_functions)   rfind;100
Comparison_of_programming_languages_(string_functions)   right;100
Comparison_of_programming_languages_(string_functions)   rpartition;100
Comparison_of_programming_languages_(string_functions)   split;100
Comparison_of_programming_languages_(string_functions)   Uppercase;100
Comparison_of_programming_languages_(string_functions)   Contains;100
Comparison_of_proxifiers   Platforms;100
Comparison_of_proxifiers   Proxy protocols and methods;100
Comparison_of_raster to vector_conversion_software    Basic features ;100
Comparison_of_raster to vector_conversion_software    AutoCAD features ;100
Comparison_of_raster to vector_conversion_software    Raster editing features ;100
Comparison_of_reference_management_software    General ;100
Comparison_of_reference_management_software    Operating system support ;100
Comparison_of_reference_management_software    Reference list file formats ;100
Comparison_of_reference_management_software    Database connectivity ;100
Comparison_of_reference_management_software   Password  protection  and network versions;100
Comparison_of_relational_database_management_systems   Tables and views;100
Comparison_of_relational_database_management_systems   Database capabilities;100
Comparison_of_Scottish_Gaelic_and_Irish   Orthographic differences;100
Comparison_of_Scottish_Gaelic_and_Irish   Differences in vocabulary;100
Comparison_of_Scottish_Gaelic_and_Irish   Differences in vocabulary;100
Comparison_of_Solaris_distributions    General ;100
Comparison_of_Subversion_clients    Subversion clients comparison table ;100
Comparison_of_Tryton_and_Open_ERP   Business model;100
Comparison_of_U S _state_governments    Supermajority requirements ;100
Comparison_of_U S _state_governments   Executive;100
Comparison_of_U S _state_governments   Judicial;100
Comparison_of_US_and_Chinese_Military_Armed_Forces   Table comparison between the US and Chinese Military as for 2011;100
Comparison_of_Vector_Formats_(GIS)   General information;100
Comparison_of_Vector_Formats_(GIS)   Feature Types;100
Comparison_of_VMware_Fusion_and_Parallels_Desktop   Minimum system requirements;100
Comparison_of_VMware_Fusion_and_Parallels_Desktop   2009 Benchmark tests;100
Comparison_of_Windows_Vista_and_Windows_XP   Security;100
Comparison_of_YouTube_downloaders    Supported operating systems ;100
List_of_AMD_graphics_processing_units    AGP (X7xx  X8xx) ;100
List_of_AMD_graphics_processing_units    PCI E (X7xx  X8xx) ;100
List_of_AMD_graphics_processing_units    IGP (X12xx  21xx) ;100
List_of_AMD_graphics_processing_units    Rage Series ;100
List_of_AMD_graphics_processing_units    Radeon R100 (7xxx) Series ;100
List_of_AMD_graphics_processing_units    Mobility Radeon Series ;100
List_of_AMD_graphics_processing_units    Mobility Radeon X300  X600  X700  X800 Series ;100
List_of_AMD_graphics_processing_units    Mobility Radeon X1xxx Series ;100
List_of_AMD_graphics_processing_units    IGP (3xx Series) ;100
List_of_AMD_graphics_processing_units    Radeon Rx M2xx Series ;100
List_of_AMD_graphics_processing_units    Radeon Rx M3xx Series ;100
List_of_AMD_graphics_processing_units    Radeon R200 (8xxx  9xxx) Series ;100
List_of_AMD_graphics_processing_units    FireStream Series ;100
List_of_AMD_graphics_processing_units    IGP (9xxx Series) ;100
List_of_AMD_graphics_processing_units    AGP (9xxx Series) ;100
List_of_AMD_graphics_processing_units    PCI E (X3xx  X5xx  X6xx  X1xxx Series) ;100
List_of_AMD_graphics_processing_units    IGP (X2xx  11xx Series) ;100
List_of_FTP_server_software    Graphical ;100
List_of_FTP_server_software    Libraries ;100
List_of_Nvidia_graphics_processing_units   GeForce256 Series;100
List_of_Nvidia_graphics_processing_units   GeForce2 Go Series;100
List_of_Nvidia_graphics_processing_units   GeForce4 Go Series;100
List_of_Nvidia_graphics_processing_units   GeForce FX Go 5 (Go 5xxx) Series;100
List_of_Nvidia_graphics_processing_units   GeForce Go 7 (Go 7xxx) Series;100
List_of_Nvidia_graphics_processing_units   GeForce3 Series;100
List_of_Nvidia_graphics_processing_units   GeForce4 Series;100
List_of_Nvidia_graphics_processing_units   Comparison table  Console GPUs;100
List_of_Nvidia_graphics_processing_units   Features;100
