Feature,Occurrences
Opposed bailout  Barr will seek to limit policies that permit political interference in the economy in favor of the exercise of a free market economic model  This would include  formally and clearly end the bailouts which promote private economic retrenchment and corporate work outs  limiting powers of the government to place sustained federal pressure to increase mortgage lending  through Freddie Mac and Fannie Mae  amending or revoking the Community Reinvestment Act  limiting the ability of the Federal Reserve to manipulate the currency for political purposes  Ensuring enforcement of the SEC regulations to insure solvency and transparency in the operation of major investment firms  Permanently lowering tax rates and simplifying taxes to more effectively reinforce long term plans for hiring  inventory and production  cutting environmental rules such as Corporate Average Fuel Economy standards on vehicles  initiating a detailed audit of federal rules  relaxing or eliminating any regulations for which costs outweigh benefits  reducing penalties on people for delayed tax payments and premature withdrawals from IRAs  ending nonessential federal spending  particularly frivolous special interest outlays  Over the longer term  evaluate  plan  and implement for future federal liabilities and obligations FDIC bank guarantees  Pension Benefit Guaranty Corporation promises  Social Security and Medicare liabilities  and more ,1
CodedColor PhotoStudio Pro,1
Armament  number of rounds,1
string CompareTo(string),1
putera,1
Negotiation,1
Versions maintained,1
Level crossing with barriers ahead,1
NDoc,1
Parametric effect CC,1
APNG,1
VBSdoc,1
Local full backup,1
JPEG 2000,1
MSRP,1
HD Photo,1
Variable length look behinds,1
Dante,1
APOP,1
Macro language,1
Sweden,1
NT 4 0,1
new Boolean( value ),1
Bloombase Keyparc,1
Other builders,1
Manage change,1
Darwin Boot Loader,1
BirdEye,1
branch (goto),1
External native methods,1
Interface Rect,1
OSI NetExpert,1
Csound,1
XPointer,1
In later versions,1
string equals(string),1
USB Card,1
Bunting,1
uc(string),1
Matching Contributions,1
Shapes,1
Handles files  4GB,1
Liferea,1
Estimation,1
Robo Maxx,1
DMZ (de militarized zone)   allows for single several hosts not to be firewalled ,1
Plucker,1
Market share,1
FundedByMe,1
toLocaleString(),1
Latest stable software release,1
Browser file upload,1
Geometry from the Land of the Incas,1
iriver clix 2G,1
Ruby characters,1
Extensions,1
Variable bit rate audio,1
Icinga,1
Lisp and Scheme,1
spinnekop,1
EPA estimated drivers fuel economy,1
isPrototypeOf(V),1
Cue sheet,1
string find(substring)    string  npos,1
Combined charts,1
GNUMail,1
OS 2   eCS,1
Disable Bluetooth,1
HyperSQL,1
Jarnal,1
Alpha,1
Knight Online,1
Mandatory argument prompt,1
Full  featured free trial period,1
commonwealth,1
Zenoss,1
LabVIEW,1
Two factor authentication,1
array_of_strings join(separator),1
Introspection,1
Conference,1
Greece,1
Babel Fish,1
Windows OS choice(s)OS choice(s),1
Operations,1
Game Boy Advance,1
Peer exchange,1
Microsoft Reader,1
Fully customizable user interface,1
VSdocman,1
Subscripts and superscripts,1
SDHC,1
Athens,1
conditional expression,1
Interface CSSStyleDeclaration,1
Interface LSResourceResolver,1
Embedded code,1
Direct file transfer over NFC,1
string to integer,1
Browser support,1
head office,1
CodePlex,1
Amazon cloud (AWS) icons,1
SDK ,1
aMSN,1
Cyrus IMAP,1
Fat binaries,1
Flow control framework,1
Export,1
Broadband eBook (BBeB),1
Administration,1
Non US charset support,1
Expose,1
Editing style,1
Horizontal   Vertical,1
xbelSync,1
sRGB,1
Kotlin,1
Image transparencies,1
string toLowerCase(),1
Sensitivity,1
bonnet  hood (of a car),1
Registration pins,1
Wildcard completion,1
Satellite navigation system,1
orange (fruit),1
IBM Rational ClearQuest,1
Neighborhood association,1
Password Storage,1
Meeting attendee information,1
Ring (mathematics),1
Web application framework (WAF),1
Cannot create an array where the component type is a type parameter,1
customs (authority),1
GNU Savannah,1
Gizmondo,1
Keep right (or left),1
Single sign on,1
VirtualPC 7 for Mac,1
HUNK,1
speak talk,1
Native support  floppy capacities 8 0 ,1
CPU scavenging,1
PathSolutions,1
Allow consumer email,1
Online sync,1
PanoramaBuilder 7 0   PanoramaBuilder 7 0 Pro,1
Indexed full text search,1
Database tables,1
Funded Sum,1
End year,1
Resolution,1
TCP,1
Trilobite (Discontinued),1
Traction battery power,1
Founder owner support ( q    ),1
Endianness,1
Python3x support,1
ARIA compliant,1
Roomba 2nd Gen ,1
Alpha channel in color definitions,1
TDP,1
JBIG2 for grayscale images,1
threads,1
Downloadable client,1
cHeight   133,1
CCP,1
Ubuntu Edubuntu,1
Bat,1
Evacuation,1
Web pages,1
Typical input,1
spring(time),1
SMX count,1
Input method,1
SMS sync,1
Perforce P4Merge,1
Paltalk,1
Microsoft MPEG4 V2,1
ucase(string),1
parliament,1
Favorites   Bookmark,1
show network route,1
Application Launch,1
TFS,1
XML RPC,1
MasterBooter,1
List boxes (combo boxes),1
Bandwidth reductions (compressed removed headers),1
Encryption supported,1
Weight  lb ,1
Comoros,1
Frequency utilization Call density,1
Allow attachment download (client side),1
Auto Discovery,1
 dev crypto,1
Set,1
Star Wars The Old Republic,1
IdiomaX,1
Cisco network icons,1
SDSC,1
End of priority road,1
Scan physical connection details (speed  protocol  etc ),1
       Other missions,1
Speed limit zone,1
Provides object types and type names  Allows reflection through RTTI ,1
Unprotected quayside or riverbank,1
Data Source   Infeed Functionality,1
Current version release dates,1
John McCain (campaign),1
CGD,1
CrushFTP,1
C (K R  ANSI C89 C90)  CHILL  PL I  and REXX,1
Reporting,1
TX Power,1
Remote IR receiver,1
Career,1
Astronaut,1
CHM,1
TIFF (RGB and CMYK),1
TDP (Watts) GPU only,1
eCommerce,1
String table,1
Subsystem isolation mechanisms,1
Branch evaluation,1
passport,1
Document bookmarks and outline,1
No  of players per server   shards   worlds,1
Year introduced,1
Pitching,1
Code Auto Reload,1
Cost to publish application to official store,1
Overroot Squiggle LAN Messenger,1
MCCP,1
Dimensions (mm   mm),1
Phrase,1
Browsers,1
Remote Compression,1
Address of,1
Voice over IP,1
Enforce password history,1
petrol,1
Megapixels,1
DOM wrapped,1
Comic book,1
ClassWish,1
Configure message formats (HTML or plain text),1
Automation Anywhere Integration Pack,1
URL hyperlinking,1
regex   Henry Spencer's regular expression libraries,1
Vatican City,1
Memory Max,1
Sandbox,1
Conditionals,1
Dangerous crosswinds,1
Tax benefit,1
AiR Boot,1
VGA DAC,1
TM1,1
SDXC,1
company,1
TLS,1
Bluetooth keyboard,1
Native support  floppy capacities 3 5 ,1
doktor,1
Petridish org,1
Created  by,1
Haddock,1
Search   replace,1
File repairing,1
cadangan,1
ALM (Assembly Language for Multics),1
lunch,1
Missile mass,1
x86 SMP,1
Keyboard size in  ,1
December,1
Access permissions,1
Quotations,1
Sentry 2020,1
ANZAC,1
Automatic Update,1
text,1
pitch,1
Web based Clients,1
Feed Viewer,1
flyover,1
banci,1
Bloom filter,1
a out,1
capital city,1
Sync any directory,1
FTP upload,1
Level crossing without barriers ahead,1
Sabayon Linux,1
Eveda,1
Hyper V (2012 R2),1
Cologne,1
Transactional,1
Extra player,1
Irrigation,1
Modification,1
Metadata only journaling,1
Latest version release   date,1
Windows player ,1
stamp,1
Chart Builder By Livegap,1
Elive,1
FXP (Site2site transfer),1
TPM,1
OpenLogos,1
silencer,1
government,1
Min DATE value,1
sewer,1
Flash viewer,1
nurse,1
Xubuntu,1
Named capture,1
Expressions,1
Raster 2 Vector,1
pavement,1
Browser plugin,1
Keyboard mouse support,1
COW,1
SQL Anywhere,1
Spain,1
Das U Boot,1
search (criteria),1
Offline storage,1
Global Searches,1
string downcase,1
Minimum safe following distance between vehicles,1
isyVmon,1
Server (computing),1
iPhone  iPod Touch,1
string Equals(string),1
Autorouter,1
Turn right,1
microSDHC,1
TRE,1
XQuery,1
CPT,1
SChannel 8 1 2012R2,1
Walkman NWZ A810 series,1
SMM count,1
Audio playback,1
string substring(0  n),1
Context sensitive help,1
FSB HT (MHz),1
Boa,1
Supported platforms,1
3D enabled,1
baja,1
BeOS,1
OS Environment,1
oxygen,1
Boo,1
Octal,1
Notes for the Java version   The infinite Fibonacci sequence is represented by the  class (as opposed to a method)    The  class implements the  interface  which allows client code to request the Fibonacci numbers one at a time   The class implements the  method as always returning  since the Fibonacci sequence is infinite  The  method calculates and returns the next number   The  interface formally also allows the client to request removal of numbers  As the Fibonacci sequence is a mathematically defined sequence  the  method is implemented as unsupported   The  annotation is necessary to avoid compiler warnings about possible unintentional overriding of base class methods   Because  is a primitive type and  is a generic interface  the Java compiler generates a boxing conversion for each number ,1
     isn't it  didn't he  etc ,1
Client side encryption,1
Type parameters cannot be used in declarations of static fields methods or in definitions of static inner classes,1
carrying bat after striking,1
constitution of a country,1
CRM,1
Launch price (USD),1
CRT,1
XML Schema Editor ,1
 5,1
Open Source License ,1
Clean,1
Information,1
 Smart  mouse recording (not just absolute coordinates),1
CSA,1
micro SDHC,1
pengajian,1
CSS,1
HDR PhotoStudio,1
Grammatical form,1
CSV,1
Hyper V (2012),1
News Filtering,1
small sized content,1
Norway,1
Bro,1
senang,1
Configuration,1
Microsoft Analysis Services,1
Encoder cost,1
Sony media,1
Mobile ad serving,1
Resource access control,1
test(string),1
Channel censor IRCd config   chanop controlled,1
Contract support offered,1
MooTools,1
Circuit,1
Goal Keeper,1
Smile,1
JumpDrive SecureII Plus,1
Congo,1
Zabbix,1
Other political experience,1
pirate (maritime),1
Multi Server,1
Accident area   accident ahead,1
DB Manual,1
Active contributors (October 2011 April 2014),1
Inventory,1
male,1
MLE  Step 2,1
Premature,1
Pass on either side,1
cute,1
Page Turn Effects,1
TrueCrypt,1
String Join(separator  array_of_strings),1
Virtual Iron 3 1,1
Yellow Dog Linux,1
Line in recording,1
Neo Geo Pocket,1
Preloaded applications,1
Zero knowledge,1
string includesSubstring  substring,1
Layers,1
bapa,1
Link Commander,1
Interface StyleSheetList,1
string compare(string),1
Optional automated bounds checking (e g   the  method in  and  containers) ,1
Pattern matching (filename globbing),1
Python2x support,1
Multilevel execution policies,1
3D,1
SubChunk Transfer,1
On demand  scan,1
No motorcycles,1
agent,1
Latest stable date (version),1
bishop,1
Expected release date,1
Unordered and ordered lists,1
MetricsGraphics,1
Viewer,1
Energy Star EZ GPO,1
Iceland,1
OverDrive Media Console,1
Last,1
Symbian,1
Lossless audio compression,1
Tram crossing,1
string ToLower(),1
Custom authentication,1
Premium service name ,1
Mount or extract,1
JPEG 2000 ( jp2),1
Asynchronous message relaying,1
Restricted facets,1
XML for Analysis,1
Deputy,1
Pandora FMS,1
TRANGO,1
Addresses links to maps,1
Brimir,1
Random access memory (RAM),1
Expansion slots,1
States Countries lived in,1
 (255  128  0)  384 ,1
GBDE,1
Secretary,1
Sounds banks available,1
Lifts,1
Time,1
Runs arbitrary OS,1
auction,1
No OS (bare metal),1
C C  ,1
Gray support,1
Built in system wide dictionary,1
report date,1
Allow unsigned applications,1
Chrome,1
LCD size (in),1
Emoji support,1
Percent,1
Ganglia,1
floating point to string,1
Delta copying (block level transfer),1
Armour,1
User created sessions,1
Arbitrarily precise (bignum),1
SNIP and SJR,1
Bochs,1
Levels,1
Max ISO,1
Vault,1
85,1
McCain supports the use of school vouchers   In 2006 he said   Should intelligent design be taught as a science class  Probably not   On July 29  2007  McCain voted against increasing federal student loans and Pell grants and expanding eligibility for financial aid ,1
Rendezvous dockings in orbit,1
Verify mode,1
OMessenger,1
strcat(string  string),1
VMware ESX Server 2 5 3,1
P  p,1
string asLowercase,1
Weight  kg ,1
Creation timestamps,1
95,1
AllMyNotes Organizer,1
Governor term limit,1
Cruzer Enterprise,1
Common peak of players,1
new Object( value ),1
Resource limit,1
E  e,1
Slippery road surface,1
Mootif,1
Survey,1
Belgium,1
Auto defrag when idle,1
9P,1
create software raid,1
WYSIWYG,1
hasOwnProperty(V),1
Distribution Package,1
Box Alignment Module,1
Roaming,1
secret,1
Included Software,1
Direct file transfer over Bluetooth,1
Descriptions,1
mortgage,1
Over  2 9M,1
impotence,1
Maximum attachment size,1
Proceed straight   (no turns),1
hard shoulder,1
Mathematical notation language,1
Stream redirection,1
GeForce 9800 GTX ,1
UCC,1
DB2,1
string    string,1
PCLinuxOS,1
Tag,1
n Track,1
Android App,1
Prices of connecting owned domain,1
Cont  shtg (fps),1
Tax,1
Cursor,1
Side Effects Houdini,1
kiel en la  ielo  tiel anka  sur la tero ,1
Game engine type,1
Spare bulb required,1
Spreadsheet formula language,1
Mobipocket,1
Ontology Ontologies Supported,1
Writing Modes,1
UDF,1
Notes sync,1
GXemul,1
Server name,1
UDP,1
Scheduled scans,1
state (within a federation),1
Supports classes  structs (POD types)  and unions  and can allocate them on the heap or the stack ,1
DCC,1
Simultaneous voices,1
DCL,1
ForgeDoc,1
 string isEqualToString string   or   string isEqual string ,1
Invariant,1
Aperture size,1
ECDH ANON (insecure),1
String isSubstring substring string,1
Atari Lynx,1
Offline messaging,1
Stream processors,1
Verdiem Surveyor,1
PL SQL,1
View ports interfaces,1
string   string,1
Property list (plain text format),1
extinct,1
SymPy,1
Instapray,1
Slovakia,1
Supported executable,1
DEB,1
Table inheritance,1
Board Certification,1
mengacau,1
Able to cross compile,1
GNOME Git Repositories,1
Postcondition,1
Collateral Listings,1
First released,1
Sensors Interpret ,1
Chart js,1
3DS,1
FundRazr,1
application atom xml,1
CppDoc,1
Aperture,1
Native CIM WBEM support,1
First success,1
Atomic groups,1
Polyhedra DBMS,1
Specific supported hardware,1
empire,1
phpSimpleDoc,1
Function(  p1    p2            body ),1
Wind River hypervisor,1
Pointers  references  and pass by value are supported for all types (primitive or user defined) ,1
Planbox,1
Speed limit in urban area,1
man pages,1
Footprint on Mac,1
HTML email body truncation size (KB),1
Lines ratio,1
string   string,1
Finland,1
FeedDemon,1
bontot buntut,1
Linux OS choice(s)OS choice(s),1
John McCain believes that the right to keep and bear arms is a fundamental  individual Constitutional right   In the past he has voted to protect gun manufacturers from attempts to make them liable for crimes committed by third parties  McCain opposes restrictions on assault rifles and has voted against such bans  He has supported legislation requiring gun manufacturers to include gun safety devices such as trigger lock in product packaging  He cosponsored legislation to lift the DC gun ban  McCain has opposed  waiting periods  for the purchase of firearms  McCain also voted against the 1993 Brady Bill to restrict the availability of handguns ,1
Conversation View,1
BI,1
Annotate,1
EgoSecure HDD Encryption,1
Armed Forces,1
GUI on by default,1
GlobalGiving,1
Public source code,1
Super 35 ,1
IP SLA Reports,1
Refactoring,1
Supervision,1
ZX Spectrum,1
hood  soft hard top,1
Turn right ahead,1
WebSphere Enterprise Service Bus and WebSphere Process Server,1
string reverse,1
ACID Pro,1
ASN 1 (BER  PER or OER encoding),1
United Arab Emirates,1
Invasion,1
Conditional formatting in spreadsheets,1
Sereal,1
Windows NT based,1
Help Generator,1
Directory organization,1
Format string syntax,1
Cyprus,1
Ch,1
DSi (DSi exclusive) and DSiWare,1
Discussions,1
Optional dependencies,1
Region codes,1
XForms,1
DS,1
autonomy,1
Email sync protocols supported,1
EC,1
Menu Support (like DVD),1
Repository Organisation,1
File lock,1
UMI,1
Direct access,1
PDF Studio,1
Function ,1
Windows App,1
slideshow,1
OGDL Binary,1
Arrays are implicitly direct specializations of Object  They are not unified with collection types ,1
private,1
Remote desktop assistance,1
Thesaurus Controlled Vocabulary Used,1
Prioritization,1
Shiira,1
Tunnel ahead,1
Element selectors,1
cut  copy  and paste,1
engine,1
Max row size,1
Dates links to calendar,1
GB,1
Excretion,1
GL,1
Persia,1
Hiawatha HTTP Server,1
H2,1
SevOne,1
Threema,1
Number of Modules,1
GZ,1
Mouse,1
Caching,1
Secure User ID,1
Statements,1
Installable from USB,1
Supported guest OS drivers,1
Expressions and operators,1
Go,1
HP,1
BZ BZ2,1
gangster,1
bzip2,1
Apache Synapse,1
Meld,1
Pitch control ,1
SSL 2 0 (insecure),1
SASL EXTERNAL support,1
Value equality,1
SYN flood protection,1
TLS 1 2,1
Card Processing Fee,1
TLS 1 0,1
TLS 1 1,1
class member,1
Balsa,1
Classes assembly search path,1
Swift,1
Information level permissions,1
Tox,1
Remedy Action Request System,1
FlexiPanel Ltd,1
piawai,1
Io,1
Password complexity rules,1
Baselines,1
Half and Quadruple precision etc ,1
Signal,1
Feature   Framework,1
Akregator,1
Find and replace using RegEx,1
Property,1
Plugins,1
Transenc,1
television,1
Amount,1
Card processing fee,1
Netinstall,1
string upper(),1
Samples per subject,1
inning(s),1
Level crossing (multiple tracks),1
Type of Client,1
LE,1
Allows custom commands (like  open file    launch website    shutdown  etc ,1
Bourne shell 1977 version,1
Roboking,1
No entry for vehicular traffic,1
Oracle VirtualBox (formerly OSE  GPLv2),1
Dashboard View,1
 112K  161K,1
LX,1
naked,1
Cost (US ),1
OPNET's AppResponse Xpert,1
dismissal types,1
(not (null (string index substring string))),1
Trigger,1
Processor dependent,1
IPv6 support,1
JPEG Lossless operations,1
Wild cards,1
Top elevation (feet),1
E4M,1
GiveForward,1
Not Counted,1
Concept,1
RTL Support,1
upcast,1
MS,1
Symbian OS,1
MU,1
MZ,1
Telecommunications icons,1
Binary numeral system,1
DTD,1
Function in R,1
NE,1
pickpocket noun,1
Fedora approval,1
SOCKS,1
Tax reclaimed (Gift Aid),1
i18n nicknames,1
internet cafe,1
Enyo,1
Installable live CD DVD,1
Last Stable Version,1
DTS,1
RawTherapee,1
financial,1
Card reader slot,1
Thread Processors (total),1
Committee,1
Common Language Object Model,1
Max Supported File Size,1
Conversation segments,1
Argument counts,1
OB,1
Oracle HTTP Server,1
current (adjective  of time),1
Product Page,1
ALGOL 58,1
Unicode (UTF 8),1
     ,1
Bing Translator,1
Gene Amondson,1
HeaderDoc,1
Skipped macroblock,1
PE,1
Modula 3,1
Krita,1
Modula 2,1
Drop io Fileserve Hotfile Humyo IFile it iDisk Megaupload Megavideo RapidShare SteekR Ubuntu One Xdrive Yahoo  Briefcase,1
stable version,1
PR,1
Star Wars  The Old Republic,1
qooxdoo,1
Marshalling,1
3D Capabilities,1
Deluxe Paint,1
NATO rank code,1
Oz,1
Beta,1
Last political office,1
Latest release date   and version,1
Auto Ingest ,1
Metz,1
QQ,1
Batter,1
Format name,1
MSSQL,1
bash (v4 0),1
Patro nia  qua esas en la cielo   tua nomo santigesez   tua regno advenez   tua volo facesez  quale en la cielo  tale anke sur la tero   Donez a ni cadie l'omnadiala pano   e pardonez a ni nia ofensi   quale anke ni pardonas a nia ofensanti   e ne duktez ni aden la tento   ma liberigez ni del malajo   Amen ,1
Materialized view,1
RM,1
RTL Support in UI Components,1
Current Model ,1
ReFS,1
Nintendo DS,1
RX,1
Developer Owner,1
Fine grained locking,1
Export to Image   PDF,1
baadjie  jas,1
Color Quality,1
SD,1
Notizen  NET,1
SM,1
DRM free,1
VirtualBox,1
EverQuest II,1
Flexmonster,1
iptux,1
RAM  GB ,1
Contamination,1
Audio Video,1
Passphrase strengthening,1
Speeds (external),1
Bedework,1
Name Website,1
System 7 (PPC 68k),1
TX,1
Supported file systems,1
IBM Notes (formerly IBM Lotus Notes),1
string    string,1
Exposure fusion,1
Kerberos,1
Data List intercalate separator list_of_strings,1
Virtual Iron 4 2,1
Audio codec (maximum data rates shown),1
UI,1
furniture,1
hoender,1
UK,1
Battery,1
Redcell,1
Execute permission,1
Evaluation,1
Maximum file size ,1
Instant WebKiosk,1
GeoNetwork,1
Supported protocol,1
Data List isInfixOf substring string,1
Individual,1
End of Life,1
Video format supported,1
Tasks Sync,1
import,1
Installed size (MB),1
LAQULITO,1
OpenDDL,1
mangsa,1
No  of servers   shards   worlds,1
 Torrent for Windows,1
VxWorks,1
Multi Lingual,1
String lowercase string,1
Yahoo  Messenger,1
Adobe Flex built in charts,1
Gesture text input,1
Smart Boot Manager,1
Oracle VM for x86,1
KOffice,1
Client Libraries,1
XL,1
YouTube HD,1
Eclipse Web Tools,1
window,1
Interface CSSValueList,1
Width (mm),1
SChannel Vista 2008  2008R2  2012,1
miniSD,1
Natural Docs,1
string ( FUNCTION  LENGTH(string)   n n),1
far,1
prostitute,1
Qualia LAN Messenger,1
BitTorrent,1
Max CHAR size,1
  (   ),1
Free Busy lookup,1
Advanced Controls,1
Latest Stable version,1
Autodesk SketchBook Pro,1
GLib GRegex,1
ZK,1
Norwegian meaning,1
PearPC,1
Column view,1
McCain voted in favor of the Nunn Lugar Cooperative Threat Reduction in 1991   He voted to ratify the START II strategic arms limitation treaty in 1996    McCain voted against the Comprehensive Nuclear Test Ban Treaty in 1999  In March 2008  McCain said that United States should reduce its nuclear arsenal to encourage other nations to reduce their arsenals ,1
Output Messenger,1
Transparency,1
Multiple architecture support (also see section below) ,1
Browser save page,1
Research,1
Runs,1
Programming (plugin) API language(s),1
Gujin,1
Controls available,1
Employer or Individual,1
Free and open source software,1
electricity,1
PowerShell Server,1
FTP support,1
PowerPC SMP,1
ICrowdFund,1
string localeCompare(string),1
Liberum Help Desk,1
Oracle JDeveloper,1
Sleipnir,1
Arcsoft TotalMedia Theatre,1
section,1
protocol,1
Bicycles only,1
(clojure string join separator list_of_strings) (apply str (interpose separator list_of_strings)),1
Specifiable index type,1
HP Network Node Manager (NNMi),1
Engine output,1
UCase(string),1
DivX   Xvid,1
licence,1
Developer tools  Visual design,1
Scroll Snap Points,1
Methods and properties,1
Size (MB),1
Office area cleaning robot system,1
Xunlei,1
Stable release date (YYYY MM DD),1
Impose a revenue tariff on all foreign goods to keep jobs in America ,1
Jeg ved ,1
BlogBridge,1
Nearest city,1
Virus Bulletin VB100,1
SysAid,1
Hit by pitch,1
IClebo,1
Alternative routes in maps,1
cashier,1
Remote upload ,1
Timed bans,1
Internet Information Services,1
Single and Multiple inheritance of classes  including virtual inheritance ,1
Pfsense,1
Toolkit used,1
lawyer,1
CommonCrypto,1
Macroblock sizes,1
PacketTrap,1
Altibase,1
koneksi,1
Partitioned From,1
Traffic signals ahead,1
On premise,1
File Transfer,1
Terminal,1
Game com,1
Isometric 3D icons,1
CUBRID,1
Launch date ,1
Last archive timestamps,1
Adobe SVG Viewer,1
FileMerge,1
Store,1
Restores,1
replace(string  find  replace) returns string,1
Observium,1
Swedish,1
Send FILERATING tags to servers,1
Premium service features ,1
SOM (PA RISC  HP UX),1
USB host,1
Object Universal,1
Barack Obama  (campaign),1
Nvidia official driver IA 32,1
 earth worm,1
TVPaint,1
Video ad serving,1
Google Translate,1
Jakarta Regexp,1
       Indigenous manned missions,1
Motor,1
 important,1
diff,1
