Cell,Occurrences
Automatic removal as soon as Level 1 listings decrease below Level 2 listing border  optionally express delisting (for a fee),1
 rad,1
SML,1
Portable Bitmap File Format,1
Google Cloud Storage,1
KiCad,1
0 5   February 15  2010,1
  a         a    a   ,1
 raf,1
Roy Rosenzweig Center for History and New Media at GMU,1
 aam,1
Sun rasterfile,1
       o ,1
E scope,1
Stop spam from hosts that send no legitimate mail (list most non mail sending hosts) ,1
Iowa class,1
Past tense infinitive,1
 abc,1
E disabled,1
BMP,1
E placeholder shown,1
Zope Public License,1
Illustrious class,1
Tribal class,1
2004 ,1
web based  browser accessed  centrally hosted program,1
2015 02 05,1
 aas,1
E last of type,1
2 4,1
Shockwave Director,1
2 6,1
2 7,1
IBM's Content Manager and Image Plus,1
squeak org,1
GSSAPI  CRAM MD5  DIGEST MD5  APOP  CLRTXT  LOGIN  PLAIN  LDAP  Internal,1
GeForce Go 7900 GS,1
BlackBox Component Builder,1
OpenDocument drawing,1
SPF,1
INRIA,1
Camera Image File Format,1
Microsoft SQL Server Management Studio,1
Microsoft Corporation,1
DB2 for iSeries,1
HTML 4 01 Transitional  CSS,1
Ondrej Brablc,1
Ends with,1
6 12 12 12,1
ip dnsbl,1
embed  object,1
Third form,1
3 1 ,1
PDF  PS,1
body  table  tr  td  th,1
Cannone da 75 32,1
V10 5,1
Source data is derived from a global network of Message Sniffer filtering nodes in real time  Truncate data is updated from statistics every 10 minutes ,1
Otto von Guericke University Magdeburg and University of California  Berkeley,1
Mobility Radeon X1600,1
Labtiva,1
Arkansas Supreme Court,1
BPG,1
Kivio stencil,1
SRF,1
 rgb,1
SRN,1
210,1
2003 06 03,1
hr  pre  td  th,1
Also réidi  and rèidio in spoken Irish and Scottish Gaelic,1
 y        ,1
Search engine plugins,1
Unicode escapes,1
Rage Pro,1
19 8,1
Hasselblad Imacon FFF,1
Timo Hirvonen,1
Point,1
FSB  HT 2 0,1
Johnston class,1
220,1
GIS for public utilities  can be stored inside Oracle Database,1
E lang(),1
225,1
Mercury Mail Transport System,1
October 11  1999,1
BRK,1
72 5,1
Automatic once at least several IP addresses from a given block are individually listed on ivmSIP  with extensive whitelists and filtering to prevent false positives,1
Yes (ClamWall extension),1
In Irish  aire for a government minister,1
1 0 12,1
International Organization for Standardization,1
ivmSIP,1
Pre kindergarten,1
E future,1
KDC,1
PureBasic,1
3 7in QFAA,1
Rage 128 Ultra,1
OLAP Rules  Push Rules  Application Engine,1
233,1
Opel 3 ton,1
STX,1
Jef Van Den Ouweland,1
 b      ,1
Ohio Supreme Court,1
April 21  1997,1
GPL BSD,1
frameset,1
network version available  built in web publishing tool,1
night,1
 inti (irinti),1
8 16 32,1
SUN,1
agorum core,1
PostgreSQL Global Development Group,1
Heat,1
APNG,1
Fw 190,1
Cyberduck,1
CA 12,1
InterBase  Firebird,1
invert(),1
 psp   tub   pspimage,1
JPEG 2000,1
8  16  20  24  32,1
Oct  1  2003,1
Public list follows standard dnsbl protocol   Subscription based service is more capable  but does not follow standard ,1
Used by PROSERPINE ,1
Ralink Ralink RT2700 2800,1
Monkey's Audio,1
via Phonon  GStreamer  xine  MPlayer  VLC  DirectShow  QuickTime,1
Firefox extension or stand alone with connectors for Firefox  Chrome and Safari  Web based access to reference library also available ,1
SWF,1
Martin Schreiber,1
BibTeX front end  using the KDE Software Compilation,1
Utah Supreme Court,1
Plural noun,1
Wavelet image format used primarily with geo referenced aerial and satellite imagery,1
IGES,1
Indented with whitespace and newlines,1
winsoft,1
1920,1
PCIF,1
New Mexico Supreme Court,1
HDCD,1
Optional (SpamAssassin),1
SXD,1
Toggling between values,1
 jpg   jpe   jpeg,1
RATSNOPTR,1
BigTIFF,1
Neptune XT,1
Secure FTP Server that also supports Secure Shell Access and Web browser based secure file transfer  Protocols supported include FTP  FTPS  SFTP  HTTP  HTTPS  Telnet  and Secure Shell  Features include web UI administration  server event triggers and scripting  and authentication using Windows  ODBC  or Active Directory  Certified for Windows Vista ,1
OpenEdge Advanced Business Language (formerly Progress 4GL),1
Search,1
2004 11,1
Firefox for MobileSeaMonkey,1
Bit Map Compressor,1
GPL2 GNU linking exception,1
2014 11 13,1
500 700,1
2014 11 11,1
pgAdmin Development Team,1
Massachusetts Supreme Judicial Court,1
Yes Symantec  BitDefender,1
Casio CAM,1
280,1
JBIG2,1
proxyBL,1
14 0 (16 October 2006),1
Pedigree view,1
Extremely conservative list of single IP4 addresses that produce exclusively spam malware as indicated by the GBUdb IP Reputation system  Most systems should be able to safely reject connections based on this list ,1
application x xfig,1
M10  M11,1
OpenOffice org 1 0 drawing format,1
Parental controls,1
290,1
house,1
Texas Supreme Court Texas Court of Criminal Appeals,1
Printed Circuit Board or PCB software,1
 ami,1
GeForce Go 7700,1
Spitfire,1
center,1
Spam sources from email  forums  referrer spam and dictionary attacks,1
 k ,1
Palm OS,1
Radeon 9600 Pro,1
 ani,1
    ,1
image vnd radiance,1
2006 02 13,1
n a,1
E past,1
Relational pseudo class,1
radial gradient(),1
8 16 16 16,1
Yes Clamav,1
BookmarkSync,1
North Carolina Supreme Court,1
1 10   May 13  2015,1
Computerinsel GmbH,1
2014 05 21 (1 1),1
Degree,1
2 6 0 (August 11  2014  9 months ago),1
open tabs,1
an Ajax Web GIS client,1
unstressed,1
 pi1   pi2   pi3   pc1   pc2   pc3,1
 apx,1
1984,1
MediaMonkey Gold,1
Maine Supreme Judicial Court,1
July 18  2002,1
Automatically calculated,1
 ico   cur,1
549 1 752 6,1
XCircuit,1
4 6 1 December 18  2014  5 months ago,1
Radeon 9100 Pro,1
Tizen,1
1988,1
70 (at end of term),1
Cyrus IMAP,1
1997,1
srnblack surgate net,1
gFTP,1
Optional password protection   Customizable page warmth and tint    Deep View  automatically creates name lists  summaries  adds references to (Wikipedia) articles and pins web pages  reviews  etc    to the book   Specialized font to assist users with Dyslexia   Integration and annotation syncing with Calibre   Global   book specific vocabulary   Export notes  highlights  vocabulary   other user modifications to XHTML and CSV files   Reading timer ,1
application xaml xml,1
1991,1
KOA,1
application coreldraw,1
Priest,1
initial,1
Yes  keywords in G2,1
Halifax,1
 arw,1
Returns the length of a string (not counting the null terminator or any other of the string's internal structural information)  An empty string returns a length of 0 ,1
Hierarchical File Architecture (HFA),1
2004 02,1
badconf rhsbl sorbs net,1
Automatic by a cluster of more than 60 trapservers,1
GeForce 6500,1
 sfw   pwp,1
Opera    Windows  OS X  Linux 30 0 1835 59 (June 10  2015  1 day ago     )  Opera Mini ,1
compact,1
 p ,1
Shareware,1
Colin Bell  Gerd Wagner  Rob Manning and others,1
1 0 (2009 06 17),1
   ,1
jGRASP,1
Casey Langen,1
Free   Online storage free up to 300 MB   Additional storage space available,1
Design   Entertainment Graphic Arts System,1
day,1
GeForce3 Ti200,1
spam spamrats com,1
South Carolina Supreme Court,1
island,1
Berkeley DB,1
KISS CEL,1
KQP,1
Atheros AR5211  AR5212  AR5213  AR5214,1
CAM,1
CAL,1
repeating radial gradient(),1
Allowed once the ball leaves the pitcher's hand  runners may not leave base if the pitcher has the ball within the circle ,1
image x xpm,1
applet,1
vlink,1
qmail,1
pre  samp  code  CSS,1
715 980,1
Truncate,1
CBL,1
Cost,1
1 96 (March 2002),1
3rd grade,1
Required,1
Dauntless,1
 o   ,1
First page,1
PHP MySQL  (PostgreSQL  Oracle  DB2  Microsoft SQL Server only in 2 x version),1
Zara class,1
HTTP  FTP  local filesystem  Flash  Picasa  iPhoto  Digikam  Shotwell  Lightroom  iPhone iPad and Android,1
(constantly updated online),1
NV36M,1
20130505 May 5  2013  2 years ago,1
Second,1
CompuServe  Unisys (compression algorithm),1
Batter is not out unless bunting ,1
(ann) an,1
Kodak Pro Back RAW,1
 t ,1
JabRef developers,1
IBM DB2  HSQLDB  Apache Derby  H2,1
deg,1
Linux based,1
parliament,1
CDR,1
2014 09 23 (1 12 2),1
 awd,1
Column relation,1
A single lookup for querying the SBL and XBL databases,1
  Microsoft Windows   Mac OS X 0 9 8 296      (April 1  2014  14 months ago)   iOS 1 0 0 (April 2  2014  14 months ago),1
Hertz,1
Integrated,1
Active Directory  Apple Open Directory  ActiveSync  Pluggable Authentication Modules,1
Feb 9  2015,1
FreeBSD  OpenBSD  NetBSD  Solaris  other Unix,1
Browsing history,1
RPG Maker,1
Feb 4  2002,1
1 9 and Opera,1
recent spam dnsbl,1
2 GB (4 GB Recommended),1
Active Directory  PLAIN  CRAM MD5  LOGIN,1
TGA,1
Listed until removed  and reverse DNS set to conform to Best Practises,1
SLIME (Emacs),1
TXT records provide information of listing incident   NiX Spam also provides hashes for fuzzy checksum plugin (iXhash) for SpamAssassin ,1
Only for photo video import with an optional accessory,1
17 July 2013,1
spamtrap drbl drand net,1
E nth of type,1
Supports data objects in  NET languages,1
Paint NET Image,1
Radeon X800 SE,1
RV200,1
Minolta RD175 Format,1
GeForce256,1
Devgems,1
proprietary  open source,1
Underhand  must travel in an arc and within certain height restrictions (a common range is between 6 and 12 feet (1 8 and 3 7 m) above the ground)  Umpire can call a pitch  illegal  while in flight ,1
NV18M,1
Tiger,1
transparent,1
Format for photograph images with HDR encoding ,1
GIMP compressed XJT image,1
rathad,1
2 0 2 2 x2,1
hotel,1
Shockwave Flash,1
IBM AIX  Solaris,1
Microsoft Exchange Server,1
6800,1
2011 03 18,1
384    ,1
2013 (6 6),1
Extensible Application Markup Language,1
 u   ,1
clipboard  DOC  ODT  PDF  HTML,1
E optional,1
Until delisting requested or Automated Expiry,1
Maintenance issues,1
4 700,1
Rational Application Developer,1
to be going,1
CGM,1
element(),1
1 2 0 May 2  2005  10 years ago,1
Directory list,1
Add new column,1
Ram Kangaroo,1
HDRi,1
6 400,1
eclipsefp github io,1
JBIG,1
Authorware bin,1
Mobility Radeon X1700,1
GEGL composition,1
inch,1
SVG color keywords,1
image vnd adobe photoshop,1
An integer,1
Sept  29  2004,1
8 36 12 12,1
Future tense infinitive,1
14 4 16,1
smtp dnsbl,1
dir,1
0 98 March 1  2013  2 years ago,1
Google Chrome,1
 jls,1
Generic web client  Also supports WMTS  WMS Time dimension  WFS G  WCTS  WPS CT  CSW 2 0 2 ISO AP 1 0  OpenLS  WMC,1
Kolab employs Cyrus and Postfix and thus supports all Cyrus SASL authentication methods and X 509 PKI auth via STARTTLS and EXTERNAL ,1
 xpm   pm,1
 y ,1
EDGE2 Original Format,1
 jng,1
E nth last child,1
Mouseover,1
CIN,1
1150,1
application x authorware bin,1
Oct 2005,1
Oct 2006,1
Dane Iracleous,1
Kt Interchange File Format,1
Used by EDGE2,1
UDP ASSOCIATE,1
GPL  LGPL,1
Windows Phone Store,1
GeForce Go 7600 GT,1
0 32,1
Dave Staugas,1
 t  ,1
E active,1
Wyoming Supreme Court,1
spamcannibal org,1
Anonymous Counter Styles,1
define variable,1
Milosz Derezynski,1
Windows 9X 2000 XP 2003,1
Video DownloadHelper,1
 wdp   hdp   jxr,1
The text plain MIME type,1
Used to display a scrolling  marquee like text ,1
District of Columbia,1
Every time new content is released,1
pgAdmin III,1
Radeon 7500,1
dnsbl 3 uceprotect net (also free available via rsync ),1
0 1 3 1,1
length,1
4 7  (2010 est ),1
Lossless  Hybrid,1
Yamato class,1
Automatic  over Honeypots and with over 515 Users and 630 Servers from blocklist de via Fail2Ban or own scripts,1
Yanagisawa PIC,1
0 45,1
Remaining space,1
E   F,1
   ,1
SpamCop Blocking List,1
DirectDraw Surface,1
12 13,1
inherit,1
 sai,1
Yes  tags and collections,1
Supported by Ebuyer Photo Paint,1
Second year Junior,1
Opera Software,1
Kodak DC40 DC50 RAW,1
Radeon 9250,1
Nine (before 1946  ten),1
0 56,1
IMG (GEM Paint),1
1184,1
List of Forms of Frequently Used Characters,1
April 1  2004,1
Used by X Window System,1
RGBA notation,1
w32,1
Visual Basic  NET,1
Monthly or one time donations,1
text,1
Radeon 7500 LE,1
 sct,1
RV250,1
GeForce FX Go 5700,1
Left page,1
2 5 24,1
Authorware seg,1
old spam dnsbl sorbs net,1
FlashDevelop,1
latha  là,1
Canada  USA  Netherlands,1
Compressed ARC Digitized Raster Graphics,1
1 4 0   April 19  2015,1
Canada,1
Automated listing due to spamtrap hits  Exceptions apply to bounces  NDRs and whitelisted IPs ,1
2014 04 18,1
spam dnsbl,1
FLVTO,1
Aria,1
Windows (All Editions),1
 bay,1
WinGate,1
Junior high school,1
Ameireaga,1
Type VII,1
Expired (see also Forgent JPEG),1
lftp,1
Radeon X850 XT Platinum Edition,1
Automatic  48 Hours after the last Attack  But earlier remove is available over the Delist Link,1
IP addresses with vulnerabilities that are exploitable by spammers (e g  FormMail scripts),1
framespacing,1
RV280,1
Truculent,1
Yes  in SpamAssassin,1
ERwin Data Modeler,1
 sdd,1
government,1
Election by the state legislature,1
Mobility Radeon 7500,1
William Christopher Gorog,1
 sda,1
3 500,1
Contains (hyphen separated),1
dpi,1
Infor,1
U class,1
Ancestor pedigree reports,1
GPL  LGPL with static linking exception for the library MSEgui,1
Code Research Laboratories,1
Drivers (Software),1
url,1
Intercept   DNS Blacklist (DNSBL),1
GeForce4 PCX4300,1
Directionality,1
Ahnenblatt,1
scoped,1
 code,1
User contributed bridge file available,1
CPC,1
FreeBSD  IBM AIX  OpenBSD  Solaris  other Unix,1
Montana Supreme Court,1
1 2 2 335,1
9 2 7,1
DrJava,1
 onti (ironti),1
CPT,1
E  repeat item,1
Mapping,1
Drizzle  MariaDB,1
Digital Imaging and Communications in Medicine,1
0 96,1
10 2 2 FP3,1
RATSSPAM,1
312,1
E out of range,1
Microsoft Azure,1
March 3  2006,1
ministir  ministéir,1
Used by Adobe Shockwave ,1
CR2,1
Graf Zeppelin,1
Advanced Query Tool (AQT),1
taigh  sta,1
RealAudio,1
September 2008,1
RS480 (metallo),1
Admiral Hipper class,1
320,1
 anti (iranti),1
vspace,1
 sgb,1
background,1
PhaseOne P25 P30 P45 RAW,1
Florida Supreme Court,1
       y ,1
Multilingual (25),1
 kif   kiff,1
Javascript  CSS,1
Cloudscape,1
TOra,1
March 11  2008,1
Zarafa,1
xbl spamhaus org,1
680  700,1
336,1
dpcm,1
Displays an alternative text for browsers which do not recognize the embed tag,1
Black list Data lives for 4 days  White list data lives for 10 days ,1
application x authorware seg,1
He 111,1
Zsolt Szatm ri,1
CSV,1
Uses PostgreSQL codebase,1
E  selection,1
PowerPlay 6 0,1
bgproperties,1
March 4  2008,1
2013 04 14,1
People's Liberation Army        ,1
NASA Mars Rovers,1
Free desktop   mobile app   Cloud Storage  5 month   45 year,1
E last child,1
2012 01 18 (2 2),1
Yes (no licence costs for part 1),1
TinyWebGallery,1
truncate gbudb net,1
Opal XT,1
Multilingual (56 languages),1
Languages,1
Dia Drawing,1
PV 1,1
Traps,1
sizes,1
5 0 1 3   June 4  2014,1
web dnsbl sorbs net,1
height,1
10,1
Desktop   Web components  Windows  Linux  OS X  iPhone   iPad,1
CUT,1
Case sensitivity,1
0 2 6 2,1
malo,1
200 400 (DDR)  200 (sideport),1
17,1
Supported by PCPaint,1
Millimetre,1
module,1
18,1
Squeak,1
hostkarma junkemailfilter com blacklist hostkarma com,1
Wisconsin Supreme Court,1
US 239 95,1
dnsbl proxybl org,1
Fifth form,1
 gif   gfa   giff,1
366,1
Radeon DDR 7200,1
SmartGenealogy,1
1 25,1
25,1
3 4a   2014 08 15,1
XLD4,1
1 31,1
Child elements of object used as fallback,1
375,1
Joint Photographic Experts Group 2000,1
Two terms in a 12 year period,1
Integral Solutions,1
2 3   previous versions via 3rd party software,1
35,1
star,1
Andreas Kleinert,1
SQL Server,1
InfiniDB,1
Until 1 year after the last spam is received and a request has been made or until the  fine  is paid for express delisting,1
2009 04 30,1
 sml,1
Both products did well  except for IE where Parallels Desktop is 80 91  faster,1
CorelDRAW files are editable using programs that support the format  such as CorelDRAW  Adobe Illustrator  Inkscape  etc ,1
open,1
cold (sickness),1
43,1
 fli   flc   flx   flh   flt,1
Placed inside a nobr element to add a line break,1
ix dnsbl manitu net,1
392,1
Gear Player,1
Symbian,1
loop,1
3 5 3,1
Postgres,1
GeForce Go 7800,1
Returns the string in upper case ,1
Radeon R7 M360,1
RC350,1
56,1
3 1 2 (June 22  2014  11 months ago),1
Manual  by providers controlling the IPs or by Spamhaus PBL Team,1
number followed by units,1
 wbmp   wbm   wbp,1
2014 07 12 (12 2 1),1
SIGMA,1
Full package for schematic and board design  etc  Design rule checking  User defined symbols and footprints  Gerber  drill file creation  Sophisticated graphic interface  Active user community ,1
bmp compressor,1
centrally hosted website  intended for publication pages,1
65,1
Meirice   Meirice,1
Determines whether background image scrolls with the background,1
FTP  FTPS  SFTP  SCP  HTTP  HTTPS  WebDAV(SSL)  AS2  AS3  Plugin API  Active Directory   LDAP authentication  RADIUS authentication  SQL authentication  Web UI administration  Groups  Layered Inheritance  Events   Alerts  Protocol Conversion (incoming FTP FTPS SFTP HTTP(s) protocols converted to a back end FTP(ES) SFTP HTTP(s) S3 WebDAV server )  SSH Tunneling  HTTP(S) Tunneling  CrushTask  client certificate authentication  ad hoc file sharing  keywords search  PGP in stream encryption   decryption  bandwidth acceleration (CrushTunnel)  file revisions and synchronization  DMZ front end server mode can also cluster with load balance  DDOS protection  High Availability Virtual IP and HTTP session replication  Job scheduling and monitoring   Supports cloud storage via S3 for file data ,1
Even if a particular IP has not sent spam  it may be included in a generic netblock which will provide many false positives  listed 127 0 0 2,1
C C  ,1
List of Commonly Used Characters in Modern Chinese  Xin Zixing,1
4 736,1
Optional Sophos   optional secondary (dual),1
China,1
 spl,1
bliain,1
2014 09 30 (X7 2),1
Luke Mewburn,1
MAKIchan net format,1
Fines  disable access to amenities  liens  foreclosure,1
Radeon X800 GT,1
Mobility Radeon 9200,1
78,1
Calendar   Appointments  Account  Treatment Plan  Patient Chart  Documents  Management  Multiple language packs ,1
 or (iror),1
Percent,1
 iff   anim,1
Solaris  Java ME  S60  UIQ3  BREW,1
a area,1
PLAIN  LOGIN  CRAM MD5  LDAP,1
Wasp,1
Xar (graphics),1
8 ,1
38 4,1
February 1  2005,1
Optional SpamAssassin  MessageSniffer,1
clipboard  DOC,1
February 1  2000,1
Variable distance from home plate  depending on the individual field  (maximum of 250 ft 76 m),1
 bpg,1
Pixel,1
1 87,1
FTP NAS server,1
88,1
FederatedX,1
Tennessee Plan (Modified Missouri Plan),1
Linux  Solaris  Mac  NetBSD  FreeBSD  w32,1
Application Studio,1
Hosts that have sent spam to the admins of SORBS in the last 28 days,1
16 000,1
eDirectory  LDAP,1
Exporting,1
No limit on number  but terms cannot be consecutive,1
Cineon,1
image x portable bitmap,1
2014 11 30 (1 2 17),1
repeating linear gradient(),1
Child,1
Radeon R9 M370X,1
2011 01 (Avatara),1
 htm   html,1
Hyper Graphic Press,1
Perl,1
 kdc,1
E F,1
M10,1
M12,1
Automatic  IPs are added when the GBUdb  cloud  statistics reach a probability figure that indicates 95  of messages produce a spam malware pattern match and a confidence figure that indicates sufficient data to trust the probability data ,1
Users set their own list of blocked countries ,1
Read only,1
Radian,1
Devgems Data Modeler,1
JPEG HDR,1
 rrggbb or  rgb,1
M18,1
Sturmovik,1
 brk,1
NT Domain  Active Directory  CRAM MD5  SASL PLAIN  SASL LOGIN,1
3 6 2 (May 30  2015  12 days ago),1
PocketStudio,1
88mm Flak 36,1
M22,1
GTdriver,1
M24,1
M26,1
M28,1
KyBook,1
ClipGrab,1
Macfusion,1
portions in GPL v2  LGPL  BSD and public domain,1
Prevents any line breaks from occurring within the flow of a text,1
LZJB,1
Preschool   Nursery school,1
 ghdarras,1
FlexIO,1
EMF ,1
Second form,1
May  2015,1
Support for the visually impaired,1
3 8 (December 23  2013),1
 sun   ras   rs   im1   im8   im24   im32,1
One of the original FTP servers made for the windows platform and still available ,1
SBIG CCD camera ST x,1
2048 128 32,1
 swf,1
Morfik Technology Pty Ltd ,1
rhsbl sorbs net,1
Genbox Family History,1
M14 41,1
NV28M,1
equal to the larger of  vw  or  vh  ,1
15 16,1
 jpg   jpeg   jpe (containers   jif   jfif   jfi),1
2 6 4   March 11  2014,1
Intel PRO Wireless 3945ABG,1
hue rotate(),1
Open source,1
blockquote,1
Arkansas  along with Rhode Island  is one of the only states that requires a supermajority to pass a budget  A three fourths majority is required for appropriations  except for education  highways  and paying down the state debt  which require a simple majority ,1
Saturn XT,1
 sxd,1
M52,1
compiles to HTML CSS XML JavaScript (web apps),1
Marvell Marvell 88W8363,1
M54,1
Indeterminate state,1
M56,1
M59,1
12 4,1
Heredis PC,1
sequence,1
DCR,1
Nikon,1
nomail rhsbl,1
DCS,1
GeForce 6600,1
Supported by Libtiff,1
dppx,1
12 8,1
ural,1
The Master Genealogist,1
repeating conic gradient(),1
Twelve months unless ISPs request removal earlier,1
PLAIN  LOGIN,1
M62,1
M64,1
M66,1
Decoda,1
DDS,1
Radeon X550,1
PBL Advisory,1
Column,1
Feb  28 2007,1
brightness(),1
UFO,1
PictureGear Pocket Image,1
JBuilder,1
Radeon 9800 XXL,1
Open submission via automated testing page ,1
6 16 16 8,1
async,1
658 5,1
web application  integrates with Google Docs  collaboration   sharing features  currently only on Google Chrome,1
Future,1
smtp dnsbl sorbs net,1
Reference combinators,1
Single IP addresses,1
GNU GPL,1
Attribute identifier,1
mwl,1
Embarcadero DBArtisan,1
year,1
WorldKit,1
Supported by PaintTool SAI,1
Indeterminate value,1
A3,1
November 1  1998,1
Runner is usually permitted to take a lead after the ball leaves the pitcher's hand  but must return to base between pitches if the ball is not put into play  Runner can be called out for taking a lead before the pitch ,1
November 1  1997,1
M9 ,1
IP addresses detected as abusive at ISP's using MagicMail Servers  and manually confirmed as spam sources,1
Java  Javascript,1
Tagged Image File Format,1
1 2 5 (June 15  2013  23 months ago),1
RV530,1
Wildcat,1
AI,1
Microsoft Office,1
version,1
Truevision Inc ,1
 page first,1
RV535,1
Supported by Amica Paint,1
 wmf   wmz,1
Bandwidth (GBit s),1
GeForce FX Go 5650,1
rbl megarbl net,1
HEVC,1
Windows Explorer shell extension,1
RV100 (piglet),1
any Z39 50,1
Apple Icon Image,1
5th grade,1
sprite,1
aMule,1
eilean,1
Pixel Coordination Format,1
DIA,1
Supreme Court of California,1
CD,1
N child of type,1
Radeon 9800 XL,1
Some (Internet Explorer allows parental control of web browsing),1
Reality Software,1
Radeon 9800 XT,1
IP addresses and related generic netblocks that have sent spam ,1
C   (wxWidgets  wxSqlite),1
It doesn't provide any server for built in internet based sync  its portability is based on USB drives ,1
pàrlamaid,1
new spam dnsbl,1
sgoil,1
Radeon R9 M290X,1
Media Science,1
MDaemon Mail Server,1
LZO,1
Safari,1
CFB Software,1
Ancestor narrative reports,1
July 2004,1
July 2003,1
Cs,1
Active Directory  Windows authentication  CRAM MD5  PLAIN  LOGIN,1
 xbm   bm   icon   bitmap,1
minister,1
10th grade,1
1 384000 Hz,1
software is being developed or status is unknown,1
Cannone da 90 53,1
A popular very large scale integration layout tool,1
oidhche,1
Dec  2004,1
Radeon VE 7000,1
drand DRBL node,1
image x portable pixmap,1
MicroStrategy,1
60 feet (18 29 m),1
Active Directory (LDAP)  CLRTXT  CRAM MD5  DIGEST MD5  APOP  GSSAPI  NTLM  MSN  SESSIONID  External Authentication Plug in  Also supports X 509 PKI auth via STARTTLS SSL,1
PLAIN  LOGIN  CRAM MD5  DIGEST MD5  APOP  ODBC  Active Directory  NT Domain,1
     ,1
Web feed subscriptions,1
Radeon R9 M295X,1
manténgalo,1
parlaimint,1
BlueJ,1
15 04,1
Radeon 320,1
 kqp,1
 aab   x32   u32   vox,1
KTechLab,1
Use a db,1
Music on Console,1
Radeon 330,1
128  256  512,1
Radeon 9500 Pro,1
Enabled state,1
Personal FTP server,1
Scientific (esp  astronomical) data acquisition,1
1297,1
Free   Online storage free up to 2 GB   Additional storage space available,1
 cal   cals   ras   dcl,1
 cap,1
Crack Art,1
Not a list of dial up IP addresses,1
 ca1   ca2   ca3,1
 cam,1
Radeon 340,1
4 4,1
Used by PlayStation 2,1
DNG,1
Pale Moon Sync,1
HG,1
0 7 1   July 19  2008,1
CG Information,1
 dar s,1
Verilog simulator,1
Sept  2005,1
vmax,1
ID,1
Appointment by governor,1
Hood,1
Mscross,1
MacFamilyTree,1
Regular expression,1
Ralink RT2500,1
April 2012,1
DOS,1
