Matrice;prodConformRatio
Comparison_of_enterprise_bookmarking_platforms    Platform and security capabilities ;83
Comparison_of_enterprise_bookmarking_platforms    Server operating system support ;83
Comparison_of_European_road_signs   Priority;87
Comparison_of_European_road_signs   Warning;87
Comparison_of_European_road_signs   Prohibitory;87
Comparison_of_European_road_signs   Mandatory;87
Comparison_of_European_road_signs   Special regulations;0
Comparison_of_European_road_signs   Indication;87
Comparison_of_European_road_signs   Border Crossings;87
Comparison_of_European_road_signs   Checkpoints;87
Comparison_of_European_traffic_laws    General ;100
Comparison_of_Exchange_ActiveSync_clients;0
Comparison_of_executable_file_formats;72
Comparison_of_facial_image_datasets;66
Comparison_of_feed_aggregators   Release history;100
Comparison_of_feed_aggregators   Release history;95
Comparison_of_feed_aggregators   Operating system support;94
Comparison_of_feed_aggregators   Web feed and protocol support;70
Comparison_of_feed_aggregators   Interface and notes;94
Comparison_of_feed_aggregators   Capabilities;94
Comparison_of_file_archivers    General information ;90
Comparison_of_file_archivers    Operating system support ;87
Comparison_of_file_archivers    Archiver features ;87
Comparison_of_file_archivers    Reading ;87
Comparison_of_file_archivers    Writing ;86
Comparison_of_file_comparison_tools   General;90
Comparison_of_file_comparison_tools   Compare features;93
Comparison_of_file_comparison_tools   API   editor features;93
Comparison_of_file_comparison_tools   Other features;93
Comparison_of_file_comparison_tools   Aspects;100
Comparison_of_file_hosting_services    File hosting services  ;100
Comparison_of_file_hosting_services    Former services ;0
Comparison_of_file_managers   General information;85
Comparison_of_file_managers   Cross platform file managers;95
Comparison_of_file_managers   Manager views;93
Comparison_of_file_managers   Network protocols;66
Comparison_of_file_managers   File features;100
Comparison_of_file_managers   Browsing features;93
Comparison_of_file_managers   Search features;87
Comparison_of_file_managers   Extensibility;100
Comparison_of_file_sharing_applications    Table ;90
Comparison_of_file_sharing_applications    File sharing web applications ;100
Comparison_of_file_synchronization_software    Open source ;100
Comparison_of_file_synchronization_software    Freeware ;100
Comparison_of_file_synchronization_software    Commercial ;89
Comparison_of_file_systems   General information;84
Comparison_of_file_systems   Limits;89
Comparison_of_file_systems   Metadata;89
Comparison_of_file_systems   Features;90
Comparison_of_file_systems   Allocation and layout policies;93
Comparison_of_file_systems   Supporting operating systems;91
Comparison_of_file_verification_software   General;89
Comparison_of_file_verification_software    Program hash function support ;40
Comparison_of_file_verification_software    Program features ;87
Comparison_of_firewalls   Firewall software;52
Comparison_of_firewalls   Firewall appliances;94
Comparison_of_firewalls   Firewall rule set basic filtering features comparison;91
Comparison_of_firewalls   Firewall rule set advanced features comparison;100
Comparison_of_firewalls   Firewall rule set advanced features comparison;100
Comparison_of_firewalls   Firewall's other features comparison;100
Comparison_of_firewalls   Non Firewall extra features comparison;100
Comparison_of_free_and_open source_software_licenses   General comparison;90
Comparison_of_free_and_open source_software_licenses   Approvals;68
Comparison_of_free_credit_report_websites;66
Comparison_of_free_software_e commerce_web_application_frameworks   Free software distribution and dependencies;93
Comparison_of_free_software_e commerce_web_application_frameworks   Additional information;100
Comparison_of_free_web_hosting_services;81
Comparison_of_FTP_client_software   Free and Open Source;100
Comparison_of_FTP_client_software   Proprietary Freeware;92
Comparison_of_FTP_client_software   Freeware and commercial editions;88
Comparison_of_FTP_client_software   Trials of commercial;91
Comparison_of_FTP_client_software   Commercial;94
Comparison_of_FTP_client_software   Operating system support;91
Comparison_of_FTP_client_software   Protocol support;90
Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents;100
Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents   Radioactive contamination;100
Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents   Radioactive contamination;77
Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents   Radioactive contamination;100
Comparison_of_genealogy_software   General information;94
Comparison_of_genealogy_software   General features;100
Comparison_of_genealogy_software   Genealogical features;77
Comparison_of_genealogy_software   Languages;100
Comparison_of_general_and_generalized_linear_models;100
Comparison_of_geographic_information_systems_software   License  source    operating system support;96
Comparison_of_geographic_information_systems_software   Map servers;91
Comparison_of_geographic_information_systems_software   Map caches;100
Comparison_of_geographic_information_systems_software   Mixed;100
Comparison_of_geographic_information_systems_software   Catalog servers;100
Comparison_of_geographic_information_systems_software   Libraries;88
Comparison_of_geographic_information_systems_software   Applications;100
Comparison_of_geographic_information_systems_software   License   platform support;85
Comparison_of_geographic_information_systems_software   Feature comparison;91
Comparison_of_graphics_file_formats   General;100
Comparison_of_graphics_file_formats   Technical details;96
Comparison_of_H 264_and_VC 1   Overview;100
Comparison_of_H 264_and_VC 1   Terminology;0
Comparison_of_H 264_and_VC 1   Features;88
Comparison_of_handheld_game_consoles   General information;91
Comparison_of_handheld_game_consoles   Specifications;100
Comparison_of_handheld_game_consoles   Specifications (continued);85
Comparison_of_hardware_random_number_generators;76
Comparison_of_help_desk_issue_tracking_software;95
Comparison_of_hex_editors    General ;86
Comparison_of_hex_editors    Features ;87
Comparison_of_high_definition_optical_disc_formats   Technical details;62
Comparison_of_high_definition_optical_disc_formats   Copy protection;0
Comparison_of_Home_Owners'_and_Civic_Associations   General comparison;100
Comparison_of_HP_graphing_calculators;61
Comparison_of_HTML5_and_Flash   Comparison table;93
Comparison_of_HTML_editors    General information ;94
Comparison_of_HTML_editors    Operating system support ;93
Comparison_of_HTML_editors    Editor features ;93
Comparison_of_HTML_editors    Web technology support ;90
Comparison_of_HTML_editors    HTML XHTML specification support ;100
Comparison_of_HTML_editors    Image format support ;96
Comparison_of_HTML_editors   Early HTML comparisons;100
Comparison_of_HTML_parsers;81
Comparison_of_hub_gears;30
Comparison_of_ICBMs   ICBMs by country;100
Comparison_of_image_viewers   General information;94
Comparison_of_image_viewers    Supported file formats ;97
Comparison_of_image_viewers   Supported operating systems;95
Comparison_of_image_viewers   Basic Features;96
Comparison_of_image_viewers   Additional Features;96
Comparison_of_instant_messaging_clients   General information ;97
Comparison_of_instant_messaging_clients   Operating system support;95
Comparison_of_instant_messaging_clients   Protocol support;94
Comparison_of_instant_messaging_clients   XMPP related features;94
Comparison_of_instant_messaging_clients   Features;95
Comparison_of_instant_messaging_clients   Features;85
Comparison_of_instant_messaging_clients   Secure messengers;47
Comparison_of_instant_messaging_clients   Secure messengers;85
Comparison_of_instant_messaging_clients   Messengers with no encryption;100
Comparison_of_instant_messaging_protocols;56
Comparison_of_instruction_set_architectures    Instruction sets ;77
Comparison_of_integrated_development_environments    ActionScript ;100
Comparison_of_integrated_development_environments    Ada ;93
Comparison_of_integrated_development_environments    Haskell ;100
Comparison_of_integrated_development_environments    Java ;100
Comparison_of_integrated_development_environments    JavaScript ;100
Comparison_of_integrated_development_environments    Lua ;100
Comparison_of_integrated_development_environments      anchor Pascal Object Pascal  Pascal  Object Pascal ;100
Comparison_of_integrated_development_environments    Perl ;80
Comparison_of_integrated_development_environments    PHP ;0
Comparison_of_integrated_development_environments    Python ;90
Comparison_of_integrated_development_environments    Racket ;100
Comparison_of_integrated_development_environments    Ruby ;83
Comparison_of_integrated_development_environments    BASIC ;100
Comparison_of_integrated_development_environments    Scala ;100
Comparison_of_integrated_development_environments    Small Basic (Microsoft) ;100
Comparison_of_integrated_development_environments    Smalltalk ;100
Comparison_of_integrated_development_environments    Tcl ;50
Comparison_of_integrated_development_environments    WLanguage ;100
Comparison_of_integrated_development_environments    C C   ;72
Comparison_of_integrated_development_environments    C  ;100
Comparison_of_integrated_development_environments    Common Lisp ;100
Comparison_of_integrated_development_environments    Component Pascal ;100
Comparison_of_integrated_development_environments    Eiffel ;93
Comparison_of_integrated_development_environments    Fortran ;85
Comparison_of_integrated_development_environments    Groovy ;100
Comparison_of_Intel_processors   Intel;10
Comparison_of_Internet_forum_software   General information;83
Comparison_of_Internet_forum_software   Features;84
Comparison_of_Internet_forum_software   Data storage;84
Comparison_of_Internet_Relay_Chat_bots   General;90
Comparison_of_Internet_Relay_Chat_clients    General ;80
Comparison_of_Internet_Relay_Chat_clients    Release history ;100
Comparison_of_Internet_Relay_Chat_clients   Operating system support;100
Comparison_of_Internet_Relay_Chat_clients   Operating system support;72
Comparison_of_Internet_Relay_Chat_clients    Protocol support ;97
Comparison_of_Internet_Relay_Chat_clients    Direct Client to Client (DCC) support ;93
Comparison_of_Internet_Relay_Chat_clients    Features ;97
Comparison_of_Internet_Relay_Chat_daemons    Servers ;81
Comparison_of_Internet_Relay_Chat_daemons    Operating system support ;87
Comparison_of_Internet_Relay_Chat_daemons    Technology ;88
Comparison_of_Internet_Relay_Chat_daemons    Features ;87
Comparison_of_Internet_Relay_Chat_daemons    Features ;86
Comparison_of_IOC _FIFA _and_ISO_3166_country_codes;100
Comparison_of_IOC _FIFA _and_ISO_3166_country_codes;0
Comparison_of_IOC _FIFA _and_ISO_3166_country_codes    Former countries and former country names ;78
Comparison_of_iOS_e book_reader_software    Navigation features ;100
Comparison_of_iOS_e book_reader_software    Display features ;100
Comparison_of_iOS_e book_reader_software    Edit tool features ;100
Comparison_of_iOS_e book_reader_software    Book source management features ;100
Comparison_of_iOS_e book_reader_software    Supported File Formats ;100
