Matrice;featConformRatio
Comparison_of_C_Sharp_and_Java    Fibonacci sequence ;50
Comparison_of_C_Sharp_and_Java    Arrays and collections ;66
Comparison_of_C_Sharp_and_Java    Arrays and collections ;12
Comparison_of_C_Sharp_and_Java    Arrays and collections ;50
Comparison_of_C_Sharp_and_Java    Expressions and operators ;66
Comparison_of_C_Sharp_and_Java   Statements;66
Comparison_of_C_Sharp_and_Java    Keywords and backward compatibility ;100
Comparison_of_C_Sharp_and_Java    Object orientation programming ;66
Comparison_of_C_Sharp_and_Visual_Basic_ NET   Comments;0
Comparison_of_C_Sharp_and_Visual_Basic_ NET   Conditionals;0
Comparison_of_C_Sharp_and_Visual_Basic_ NET   Loops;0
Comparison_of_C_Sharp_and_Visual_Basic_ NET   Primitive types;0
Comparison_of_C_Sharp_and_Visual_Basic_ NET   Object types;0
Comparison_of_dance_video_games   General information;88
Comparison_of_database_access    Database and table management ;100
Comparison_of_database_access    Using data in a table ;100
Comparison_of_database_access    Altering tables ;100
Comparison_of_database_access    MySQL databases ;100
Comparison_of_database_access    Reading from tables ;100
Comparison_of_database_access    Using a table ;100
Comparison_of_database_tools   General;100
Comparison_of_database_tools   Features;87
Comparison_of_database_tools   Features (continued);100
Comparison_of_database_tools   Features   visual design and reverse engineering;83
Comparison_of_data_modeling_tools    General ;100
Comparison_of_data_modeling_tools    Features ;71
Comparison_of_data_serialization_formats   Overview;40
Comparison_of_data_serialization_formats   Syntax comparison of human readable formats;60
Comparison_of_data_serialization_formats   Comparison of binary formats;86
Comparison_of_debuggers;77
Comparison_of_defragmentation_software;100
Comparison_of_dental_practice_management_software;100
Comparison_of_desktop_application_launchers    Windows ;100
Comparison_of_desktop_application_launchers    Linux ;100
Comparison_of_desktop_application_launchers    Mac OS X ;100
Comparison_of_desktop_application_launchers    Cross platform ;100
Comparison_of_desktop_publishing_software   Overview;100
Comparison_of_desktop_publishing_software   Operating system;100
Comparison_of_desktop_publishing_software   Input format;70
Comparison_of_desktop_publishing_software   Output format;85
Comparison_of_development_estimation_software;100
Comparison_of_Dewey_and_Library_of_Congress_subject_classification   Chart;25
Comparison_of_DEX_software;94
Comparison_of_digital_audio_editors   General;90
Comparison_of_digital_audio_editors   Plugin support;94
Comparison_of_digital_audio_editors   File format support;94
Comparison_of_digital_SLRs;86
Comparison_of_disc_authoring_software   General information;100
Comparison_of_disc_authoring_software    Operating system support ;100
Comparison_of_disc_authoring_software    Optical media support ;84
Comparison_of_disc_authoring_software    Filesystem support ;83
Comparison_of_disc_authoring_software    Disk image format support ;84
Comparison_of_disc_authoring_software    Standards support ;84
Comparison_of_disc_authoring_software    User interface ;100
Comparison_of_disc_image_software;100
Comparison_of_disk_cloning_software   Table;100
Comparison_of_disk_encryption_software   Background information;80
Comparison_of_disk_encryption_software   Operating systems;72
Comparison_of_disk_encryption_software   Features;72
Comparison_of_disk_encryption_software   Layering;100
Comparison_of_disk_encryption_software   Modes of operation;86
Comparison_of_display_technology    General characteristics ;100
Comparison_of_distributed_file_systems   Locally managed;100
Comparison_of_distributed_file_systems   Remote access;100
Comparison_of_DNS_blacklists;100
Comparison_of_DNS_server_software    Feature matrix ;100
Comparison_of_DNS_server_software    Platforms ;100
Comparison_of_DNS_server_software    Packaging ;100
Comparison_of_documentation_generators    General information ;100
Comparison_of_documentation_generators    Operating system support ;100
Comparison_of_documentation_generators    Language support ;58
Comparison_of_documentation_generators    Language support ;90
Comparison_of_documentation_generators    Language support ;100
Comparison_of_documentation_generators    Input formats ;100
Comparison_of_documentation_generators    Output formats ;100
Comparison_of_documentation_generators    Other features ;93
Comparison_of_document_interfaces;85
Comparison_of_document_markup_languages   General information;100
Comparison_of_document_markup_languages   Characteristics;100
Comparison_of_domestic_robots;73
Comparison_of_dosimeters;81
Comparison_of_DOS_operating_systems    Historical and licensing information ;80
Comparison_of_DOS_operating_systems    Technical specifications ;25
Comparison_of_download_managers    General information ;80
Comparison_of_download_managers    Protocol support ;93
Comparison_of_download_managers    Features ;93
Comparison_of_e book_formats   Broadband eBooks (BBeB) ;50
Comparison_of_e book_formats   Comic Book Archive file ;50
Comparison_of_e book_formats   Founder Electronics ;50
Comparison_of_e book_formats   Hypertext Markup Language ;50
Comparison_of_e book_formats   iBook (Apple) ;50
Comparison_of_e book_formats   IEC 62448;50
Comparison_of_e book_formats   KF8 (Amazon Kindle) ;50
Comparison_of_e book_formats   Microsoft LIT ;50
Comparison_of_e book_formats   Mobipocket ;50
Comparison_of_e book_formats   Multimedia eBooks ;50
Comparison_of_e book_formats   Newton eBook ;50
Comparison_of_e book_formats   Open Electronic Package;50
Comparison_of_e book_formats   Compiled HTML ;50
Comparison_of_e book_formats   Portable Document Format ;50
Comparison_of_e book_formats   Plain text files ;50
Comparison_of_e book_formats   Plucker ;50
Comparison_of_e book_formats   PostScript ;50
Comparison_of_e book_formats   RTF;50
Comparison_of_e book_formats   SSReader ;50
Comparison_of_e book_formats   Text Encoding Initiative ;50
Comparison_of_e book_formats   TomeRaider ;50
Comparison_of_e book_formats   Open XML Paper Specification ;50
Comparison_of_e book_formats    Features ;91
Comparison_of_e book_formats   DAISY   ANSI NISO Z39 86  ;50
Comparison_of_e book_formats    Supporting platforms ;81
Comparison_of_e book_formats   DjVu ;50
Comparison_of_e book_formats   DOC;50
Comparison_of_e book_formats   DOCX;50
Comparison_of_e book_formats    EPUB ;0
Comparison_of_e book_formats   eReader ;50
Comparison_of_e book_formats   FictionBook (Fb2) ;50
Comparison_of_e book_readers    Electronic paper displays ;78
Comparison_of_e book_readers   Discontinued Models;84
Comparison_of_e book_readers    Non electronic paper displays ;95
Comparison_of_e book_readers    File format support ;66
Comparison_of_early_word_processors   Operating system compatibility;93
Comparison_of_early_World_War_II_tanks;81
Comparison_of_EDA_software   Free and Open Source Software (FOSS);100
Comparison_of_EDA_software   Comparison of EDA packages;38
Comparison_of_eDonkey_software    General ;100
Comparison_of_eDonkey_software    Features ;100
Comparison_of_eDonkey_software   Features (continued);87
Comparison_of_eDonkey_software    Versions ;100
Comparison_of_educational_websites_for_children;66
Comparison_of_email_clients   General;87
Comparison_of_email_clients   Release history;86
Comparison_of_email_clients   Templates  scripts and programming languages;86
Comparison_of_email_clients   Operating system support;100
Comparison_of_email_clients   Communication and access protocol support;85
Comparison_of_email_clients   Communication and access protocol support;85
Comparison_of_email_clients   Authentication support;84
Comparison_of_email_clients   SSL and TLS support;85
Comparison_of_email_clients   General features;85
Comparison_of_email_clients   Messages features;85
Comparison_of_email_clients   Database  folders and customization;85
Comparison_of_embedded_computer_systems_on_board_the_Mars_rovers   Performance comparisons;100
Comparison_of_encrypted_external_drives   Background information;50
Comparison_of_encrypted_external_drives   Operating systems;86
Comparison_of_encrypted_external_drives   Features;100
Comparison_of_English_dictionaries   Full size;88
Comparison_of_English_dictionaries   Collegiate;88
Comparison_of_English_dictionaries   Learner's;87
Comparison_of_enterprise_bookmarking_platforms    General ;100
Comparison_of_enterprise_bookmarking_platforms    Date and content types ;92
Comparison_of_enterprise_bookmarking_platforms    Content enrichment capabilities ;100
Comparison_of_enterprise_bookmarking_platforms    Tag management capabilities ;85
Comparison_of_enterprise_bookmarking_platforms    Platform and security capabilities ;54
Comparison_of_enterprise_bookmarking_platforms    Server operating system support ;100
Comparison_of_European_road_signs   Priority;87
Comparison_of_European_road_signs   Warning;90
Comparison_of_European_road_signs   Prohibitory;93
Comparison_of_European_road_signs   Mandatory;85
Comparison_of_European_road_signs   Special regulations;57
Comparison_of_European_road_signs   Indication;88
Comparison_of_European_road_signs   Border Crossings;75
Comparison_of_European_road_signs   Checkpoints;83
Comparison_of_European_traffic_laws    General ;75
Comparison_of_Exchange_ActiveSync_clients;76
Comparison_of_executable_file_formats;91
Comparison_of_facial_image_datasets;100
Comparison_of_feed_aggregators   Release history;100
Comparison_of_feed_aggregators   Release history;100
Comparison_of_feed_aggregators   Operating system support;100
Comparison_of_feed_aggregators   Web feed and protocol support;94
Comparison_of_feed_aggregators   Interface and notes;66
Comparison_of_feed_aggregators   Capabilities;100
Comparison_of_file_archivers    General information ;100
Comparison_of_file_archivers    Operating system support ;100
Comparison_of_file_archivers    Archiver features ;90
Comparison_of_file_archivers    Reading ;84
Comparison_of_file_archivers    Writing ;90
Comparison_of_file_comparison_tools   General;100
Comparison_of_file_comparison_tools   Compare features;77
Comparison_of_file_comparison_tools   API   editor features;85
Comparison_of_file_comparison_tools   Other features;90
Comparison_of_file_comparison_tools   Aspects;93
Comparison_of_file_hosting_services    File hosting services  ;57
Comparison_of_file_hosting_services    Former services ;0
Comparison_of_file_managers   General information;66
Comparison_of_file_managers   Cross platform file managers;90
Comparison_of_file_managers   Manager views;84
Comparison_of_file_managers   Network protocols;93
Comparison_of_file_managers   File features;93
Comparison_of_file_managers   Browsing features;80
Comparison_of_file_managers   Search features;92
Comparison_of_file_managers   Extensibility;92
Comparison_of_file_sharing_applications    Table ;90
Comparison_of_file_sharing_applications    File sharing web applications ;100
Comparison_of_file_synchronization_software    Open source ;93
Comparison_of_file_synchronization_software    Freeware ;100
Comparison_of_file_synchronization_software    Commercial ;96
Comparison_of_file_systems   General information;80
Comparison_of_file_systems   Limits;100
Comparison_of_file_systems   Metadata;71
Comparison_of_file_systems   Features;80
Comparison_of_file_systems   Allocation and layout policies;85
Comparison_of_file_systems   Supporting operating systems;83
Comparison_of_file_verification_software   General;100
Comparison_of_file_verification_software    Program hash function support ;89
Comparison_of_file_verification_software    Program features ;89
Comparison_of_firewalls   Firewall software;75
Comparison_of_firewalls   Firewall appliances;100
Comparison_of_firewalls   Firewall rule set basic filtering features comparison;60
Comparison_of_firewalls   Firewall rule set advanced features comparison;53
Comparison_of_firewalls   Firewall rule set advanced features comparison;20
Comparison_of_firewalls   Firewall's other features comparison;0
Comparison_of_firewalls   Non Firewall extra features comparison;57
Comparison_of_free_and_open source_software_licenses   General comparison;100
Comparison_of_free_and_open source_software_licenses   Approvals;100
Comparison_of_free_credit_report_websites;57
Comparison_of_free_software_e commerce_web_application_frameworks   Free software distribution and dependencies;100
Comparison_of_free_software_e commerce_web_application_frameworks   Additional information;33
Comparison_of_free_web_hosting_services;95
Comparison_of_FTP_client_software   Free and Open Source;100
Comparison_of_FTP_client_software   Proprietary Freeware;85
Comparison_of_FTP_client_software   Freeware and commercial editions;83
Comparison_of_FTP_client_software   Trials of commercial;83
Comparison_of_FTP_client_software   Commercial;85
Comparison_of_FTP_client_software   Operating system support;100
Comparison_of_FTP_client_software   Protocol support;83
Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents;7
Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents   Radioactive contamination;33
Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents   Radioactive contamination;60
Comparison_of_Fukushima_and_Chernobyl_nuclear_accidents   Radioactive contamination;100
Comparison_of_genealogy_software   General information;100
Comparison_of_genealogy_software   General features;100
Comparison_of_genealogy_software   Genealogical features;100
Comparison_of_genealogy_software   Languages;100
Comparison_of_general_and_generalized_linear_models;100
Comparison_of_geographic_information_systems_software   License  source    operating system support;90
Comparison_of_geographic_information_systems_software   Map servers;90
Comparison_of_geographic_information_systems_software   Map caches;75
Comparison_of_geographic_information_systems_software   Mixed;87
Comparison_of_geographic_information_systems_software   Catalog servers;100
Comparison_of_geographic_information_systems_software   Libraries;100
Comparison_of_geographic_information_systems_software   Applications;100
Comparison_of_geographic_information_systems_software   License   platform support;100
Comparison_of_geographic_information_systems_software   Feature comparison;100
Comparison_of_graphics_file_formats   General;100
Comparison_of_graphics_file_formats   Technical details;78
Comparison_of_H 264_and_VC 1   Overview;33
Comparison_of_H 264_and_VC 1   Terminology;100
Comparison_of_H 264_and_VC 1   Features;33
Comparison_of_handheld_game_consoles   General information;100
Comparison_of_handheld_game_consoles   Specifications;85
Comparison_of_handheld_game_consoles   Specifications (continued);100
Comparison_of_hardware_random_number_generators;87
Comparison_of_help_desk_issue_tracking_software;100
Comparison_of_hex_editors    General ;100
Comparison_of_hex_editors    Features ;92
Comparison_of_high_definition_optical_disc_formats   Technical details;75
Comparison_of_high_definition_optical_disc_formats   Copy protection;50
Comparison_of_Home_Owners'_and_Civic_Associations   General comparison;100
Comparison_of_HP_graphing_calculators;100
Comparison_of_HTML5_and_Flash   Comparison table;100
Comparison_of_HTML_editors    General information ;100
Comparison_of_HTML_editors    Operating system support ;100
Comparison_of_HTML_editors    Editor features ;90
Comparison_of_HTML_editors    Web technology support ;93
Comparison_of_HTML_editors    HTML XHTML specification support ;93
Comparison_of_HTML_editors    Image format support ;100
Comparison_of_HTML_editors   Early HTML comparisons;80
Comparison_of_HTML_parsers;57
Comparison_of_hub_gears;50
Comparison_of_ICBMs   ICBMs by country;83
Comparison_of_image_viewers   General information;100
Comparison_of_image_viewers    Supported file formats ;100
Comparison_of_image_viewers   Supported operating systems;100
Comparison_of_image_viewers   Basic Features;80
Comparison_of_image_viewers   Additional Features;90
Comparison_of_instant_messaging_clients   General information ;100
Comparison_of_instant_messaging_clients   Operating system support;100
Comparison_of_instant_messaging_clients   Protocol support;80
Comparison_of_instant_messaging_clients   XMPP related features;50
Comparison_of_instant_messaging_clients   Features;85
Comparison_of_instant_messaging_clients   Features;97
Comparison_of_instant_messaging_clients   Secure messengers;92
Comparison_of_instant_messaging_clients   Secure messengers;100
Comparison_of_instant_messaging_clients   Messengers with no encryption;100
Comparison_of_instant_messaging_protocols;75
Comparison_of_instruction_set_architectures    Instruction sets ;85
Comparison_of_integrated_development_environments    ActionScript ;100
Comparison_of_integrated_development_environments    Ada ;66
Comparison_of_integrated_development_environments    Haskell ;100
Comparison_of_integrated_development_environments    Java ;100
Comparison_of_integrated_development_environments    JavaScript ;92
Comparison_of_integrated_development_environments    Lua ;100
Comparison_of_integrated_development_environments      anchor Pascal Object Pascal  Pascal  Object Pascal ;100
Comparison_of_integrated_development_environments    Perl ;100
Comparison_of_integrated_development_environments    PHP ;100
Comparison_of_integrated_development_environments    Python ;100
Comparison_of_integrated_development_environments    Racket ;100
Comparison_of_integrated_development_environments    Ruby ;100
Comparison_of_integrated_development_environments    BASIC ;100
Comparison_of_integrated_development_environments    Scala ;100
Comparison_of_integrated_development_environments    Small Basic (Microsoft) ;88
Comparison_of_integrated_development_environments    Smalltalk ;100
Comparison_of_integrated_development_environments    Tcl ;100
Comparison_of_integrated_development_environments    WLanguage ;100
Comparison_of_integrated_development_environments    C C   ;89
Comparison_of_integrated_development_environments    C  ;100
Comparison_of_integrated_development_environments    Common Lisp ;100
Comparison_of_integrated_development_environments    Component Pascal ;100
Comparison_of_integrated_development_environments    Eiffel ;100
Comparison_of_integrated_development_environments    Fortran ;100
Comparison_of_integrated_development_environments    Groovy ;100
Comparison_of_Intel_processors   Intel;100
Comparison_of_Internet_forum_software   General information;100
Comparison_of_Internet_forum_software   Features;87
Comparison_of_Internet_forum_software   Data storage;100
Comparison_of_Internet_Relay_Chat_bots   General;77
Comparison_of_Internet_Relay_Chat_clients    General ;98
Comparison_of_Internet_Relay_Chat_clients    Release history ;100
Comparison_of_Internet_Relay_Chat_clients   Operating system support;66
Comparison_of_Internet_Relay_Chat_clients   Operating system support;97
Comparison_of_Internet_Relay_Chat_clients    Protocol support ;100
Comparison_of_Internet_Relay_Chat_clients    Direct Client to Client (DCC) support ;97
Comparison_of_Internet_Relay_Chat_clients    Features ;57
Comparison_of_Internet_Relay_Chat_daemons    Servers ;85
Comparison_of_Internet_Relay_Chat_daemons    Operating system support ;88
Comparison_of_Internet_Relay_Chat_daemons    Technology ;92
Comparison_of_Internet_Relay_Chat_daemons    Features ;54
Comparison_of_Internet_Relay_Chat_daemons    Features ;40
Comparison_of_IOC _FIFA _and_ISO_3166_country_codes;85
Comparison_of_IOC _FIFA _and_ISO_3166_country_codes;0
Comparison_of_IOC _FIFA _and_ISO_3166_country_codes    Former countries and former country names ;100
Comparison_of_iOS_e book_reader_software    Navigation features ;84
Comparison_of_iOS_e book_reader_software    Display features ;53
Comparison_of_iOS_e book_reader_software    Edit tool features ;91
Comparison_of_iOS_e book_reader_software    Book source management features ;77
Comparison_of_iOS_e book_reader_software    Supported File Formats ;7
